file,variable,data_type,unit,description,allowed_values_or_notes
raw_results/experiment_runs.csv,system,string,none,Benchmark fixture identifier.,demo_eight_class; layered_services_12; event_pipeline_16; cyclic_workflow_20; plugin_platform_24
raw_results/experiment_runs.csv,algorithm,string,none,Optimization or modularization method.,DTMC-GA; Bunch; FCA; RandomValidPartition; TraditionalMQ
raw_results/experiment_runs.csv,seed,integer,none,Independent pseudo-random seed used for the run.,1-30
raw_results/experiment_runs.csv,run_id,string,none,"Unique run identifier formed from system, algorithm, and seed.",
raw_results/experiment_runs.csv,modules,integer,count,Number of modules in the generated partition.,positive integer
raw_results/experiment_runs.csv,speedup,number,ratio,DET-model predicted sequential-to-parallel runtime ratio.,>0
raw_results/experiment_runs.csv,communication_overhead,number,ratio,Cross-module communication cost divided by modeled sequential runtime.,>=0
raw_results/experiment_runs.csv,load_balance,number,ratio,Normalized balance score of work across generated modules.,0-1
raw_results/experiment_runs.csv,mq,number,score,Speedup-oriented modularization-quality objective reported by the evaluator.,
raw_results/experiment_runs.csv,algorithm_runtime_s,number,seconds,Wall-clock time used by the optimization algorithm in the generation environment.,>=0
raw_results/experiment_runs.csv,memory_mb,number or blank,megabytes,"Peak memory field. Memory was not collected for the retained fixture-suite runs, so all values are blank and must not be interpreted as zero.",blank in this release
raw_results/experiment_runs.csv,measured_runtime_s,number,modeled seconds,Surrogate parallel-runtime validation value generated from evaluator output with deterministic seed-dependent noise; not an external measured runtime.,>0
raw_results/experiment_runs.csv,sequential_runtime_s,number,modeled seconds,Modeled sequential runtime for the benchmark fixture.,>0
raw_results/experiment_runs.csv,benchmark_type,string,none,Type and provenance of benchmark input.,phase3B_csv_fixture
raw_results/experiment_runs.csv,measurement_type,string,none,Declares the result-generation and validation mode.,deterministic_model_run_with_surrogate_runtime_validation
raw_results/experiment_runs.csv,status,string,none,Generation status label.,phase3B_generated
raw_results/experiment_runs.csv,notes,string,none,Scope note explaining that results come from included fixtures and are not external large-system runtime evidence.,
raw_results/runtime_validation.csv,system,string,none,Benchmark fixture identifier.,
raw_results/runtime_validation.csv,algorithm,string,none,Optimization or modularization method.,
raw_results/runtime_validation.csv,seed,integer,none,Pseudo-random seed.,1-30
raw_results/runtime_validation.csv,predicted_speedup,number,ratio,Speedup predicted by the DET-inspired evaluator.,>0
raw_results/runtime_validation.csv,measured_speedup,number,ratio,Surrogate validation speedup calculated from sequential runtime divided by surrogate parallel runtime.,>0
raw_results/runtime_validation.csv,sequential_runtime_s,number,modeled seconds,Modeled sequential runtime.,>0
